Date,Last Name,Bloom Level,Lesson Code,Learning Resource Code,Question,Choice A,Choice B,Choice C,Choice D,Correct Choice,Explanation,Status
2026-09-28,Tomagan,Understanding,,,,,,,,,,
2026-09-28,Tomagan,Application,,,,,,,,,,
2026-09-28,Tomagan,Analysis,,,,,,,,,,
2026-09-28,Tomagan,Evaluation,,,,,,,,,,
2026-09-28,Tomagan,Synthesis,,,,,,,,,,
2026-10-01,Abesia,Knowledge,,,,,,,,,,
2026-10-01,Abesia,Understanding,,,,,,,,,,
2026-10-01,Abesia,Application,,,,,,,,,,
2026-10-01,Abesia,Analysis,,,,,,,,,,
2026-10-01,Abesia,Evaluation,,,,,,,,,,
2026-10-01,Abesia,Synthesis,,,,,,,,,,
2026-10-01,Mayores,Knowledge,,,,,,,,,,
2026-10-01,Mayores,Understanding,,,,,,,,,,
2026-10-01,Mayores,Application,,,,,,,,,,
2026-10-01,Mayores,Analysis,,,,,,,,,,
2026-10-01,Mayores,Evaluation,,,,,,,,,,
2026-10-01,Mayores,Synthesis,,,,,,,,,,
2026-10-01,Palanas,Knowledge,,,,,,,,,,
2026-10-01,Palanas,Understanding,,,,,,,,,,
2026-10-01,Palanas,Application,,,,,,,,,,
2026-10-01,Palanas,Analysis,,,,,,,,,,
2026-10-01,Palanas,Evaluation,,,,,,,,,,
2026-10-01,Palanas,Synthesis,,,,,,,,,,
2026-10-01,Tomagan,Knowledge,,,,,,,,,,
2026-10-01,Tomagan,Understanding,,,,,,,,,,
2026-10-01,Tomagan,Application,,,,,,,,,,
2026-10-01,Tomagan,Analysis,,,,,,,,,,
2026-10-01,Tomagan,Evaluation,,,,,,,,,,
2026-10-01,Tomagan,Synthesis,,,,,,,,,,
2026-10-05,Abesia,Knowledge,,,,,,,,,,
2026-10-05,Abesia,Understanding,,,,,,,,,,
2026-10-05,Abesia,Application,,,,,,,,,,
2026-10-05,Abesia,Analysis,,,,,,,,,,
2026-10-05,Abesia,Evaluation,,,,,,,,,,
2026-10-05,Abesia,Synthesis,,,,,,,,,,
2026-10-05,Mayores,Knowledge,,,,,,,,,,
2026-10-05,Mayores,Understanding,,,,,,,,,,
2026-10-05,Mayores,Application,,,,,,,,,,
2026-10-05,Mayores,Analysis,,,,,,,,,,
2026-10-05,Mayores,Evaluation,,,,,,,,,,
2026-10-05,Mayores,Synthesis,,,,,,,,,,
2026-10-05,Palanas,Knowledge,,,,,,,,,,
2026-10-05,Palanas,Understanding,,,,,,,,,,
2026-10-05,Palanas,Application,,,,,,,,,,
2026-10-05,Palanas,Analysis,,,,,,,,,,
2026-10-05,Palanas,Evaluation,,,,,,,,,,
2026-10-05,Palanas,Synthesis,,,,,,,,,,
2026-10-05,Tomagan,Knowledge,,,,,,,,,,
2026-10-05,Tomagan,Understanding,,,,,,,,,,
2026-10-05,Tomagan,Application,,,,,,,,,,
2026-10-05,Tomagan,Analysis,,,,,,,,,,
2026-10-05,Tomagan,Evaluation,,,,,,,,,,
2026-10-05,Tomagan,Synthesis,,,,,,,,,,
2026-10-08,Abesia,Knowledge,,,,,,,,,,
2026-10-08,Abesia,Understanding,,,,,,,,,,
2026-10-08,Abesia,Application,,,,,,,,,,
2026-10-08,Abesia,Analysis,,,,,,,,,,
2026-10-08,Abesia,Evaluation,,,,,,,,,,
2026-10-08,Abesia,Synthesis,,,,,,,,,,
2026-10-08,Mayores,Knowledge,,,,,,,,,,
2026-10-08,Mayores,Understanding,,,,,,,,,,
2026-10-08,Mayores,Application,,,,,,,,,,
2026-10-08,Mayores,Analysis,,,,,,,,,,
2026-10-08,Mayores,Evaluation,,,,,,,,,,
2026-10-08,Mayores,Synthesis,,,,,,,,,,
2026-10-08,Palanas,Knowledge,,,,,,,,,,
2026-10-08,Palanas,Understanding,,,,,,,,,,
2026-10-08,Palanas,Application,,,,,,,,,,
2026-10-08,Palanas,Analysis,,,,,,,,,,
2026-10-08,Palanas,Evaluation,,,,,,,,,,
2026-10-08,Palanas,Synthesis,,,,,,,,,,
2026-10-08,Tomagan,Knowledge,,,,,,,,,,
2026-10-08,Tomagan,Understanding,,,,,,,,,,
2026-10-08,Tomagan,Application,,,,,,,,,,
2026-10-08,Tomagan,Analysis,,,,,,,,,,
2026-10-08,Tomagan,Evaluation,,,,,,,,,,
2026-10-08,Tomagan,Synthesis,,,,,,,,,,
2026-10-12,Abesia,Knowledge,,,,,,,,,,
2026-10-12,Abesia,Understanding,,,,,,,,,,
2026-10-12,Abesia,Application,,,,,,,,,,
2026-10-12,Abesia,Analysis,,,,,,,,,,
2026-10-12,Abesia,Evaluation,,,,,,,,,,
2026-10-12,Abesia,Synthesis,,,,,,,,,,
2026-10-12,Mayores,Knowledge,,,,,,,,,,
2026-10-12,Mayores,Understanding,,,,,,,,,,
2026-10-12,Mayores,Application,,,,,,,,,,
2026-10-12,Mayores,Analysis,,,,,,,,,,
2026-10-12,Mayores,Evaluation,,,,,,,,,,
2026-10-12,Mayores,Synthesis,,,,,,,,,,
2026-10-12,Palanas,Knowledge,,,,,,,,,,
2026-10-12,Palanas,Understanding,,,,,,,,,,
2026-10-12,Palanas,Application,,,,,,,,,,
2026-10-12,Palanas,Analysis,,,,,,,,,,
2026-10-12,Palanas,Evaluation,,,,,,,,,,
2026-10-12,Palanas,Synthesis,,,,,,,,,,
2026-10-12,Tomagan,Knowledge,,,,,,,,,,
2026-10-12,Tomagan,Understanding,,,,,,,,,,
2026-10-12,Tomagan,Application,,,,,,,,,,
2026-10-12,Tomagan,Analysis,,,,,,,,,,
2026-10-12,Tomagan,Evaluation,,,,,,,,,,
2026-10-12,Tomagan,Synthesis,,,,,,,,,,
2026-10-15,Abesia,Knowledge,,,,,,,,,,
2026-10-15,Abesia,Understanding,,,,,,,,,,
2026-10-15,Abesia,Application,,,,,,,,,,
2026-10-15,Abesia,Analysis,,,,,,,,,,
2026-10-15,Abesia,Evaluation,,,,,,,,,,
2026-10-15,Abesia,Synthesis,,,,,,,,,,
2026-10-15,Mayores,Knowledge,,,,,,,,,,
2026-10-15,Mayores,Understanding,,,,,,,,,,
2026-10-15,Mayores,Application,,,,,,,,,,
2026-10-15,Mayores,Analysis,,,,,,,,,,
2026-10-15,Mayores,Evaluation,,,,,,,,,,
2026-10-15,Mayores,Synthesis,,,,,,,,,,
2026-10-15,Palanas,Knowledge,,,,,,,,,,
2026-10-15,Palanas,Understanding,,,,,,,,,,
2026-10-15,Palanas,Application,,,,,,,,,,
2026-10-15,Palanas,Analysis,,,,,,,,,,
2026-10-15,Palanas,Evaluation,,,,,,,,,,
2026-10-15,Palanas,Synthesis,,,,,,,,,,
2026-10-15,Tomagan,Knowledge,,,,,,,,,,
2026-10-15,Tomagan,Understanding,,,,,,,,,,
2026-10-15,Tomagan,Application,,,,,,,,,,
2026-10-15,Tomagan,Analysis,,,,,,,,,,
2026-10-15,Tomagan,Evaluation,,,,,,,,,,
2026-10-15,Tomagan,Synthesis,,,,,,,,,,
2026-10-19,Abesia,Knowledge,,,,,,,,,,
2026-10-19,Abesia,Understanding,,,,,,,,,,
2026-10-19,Abesia,Application,,,,,,,,,,
2026-10-19,Abesia,Analysis,,,,,,,,,,
2026-10-19,Abesia,Evaluation,,,,,,,,,,
2026-10-19,Abesia,Synthesis,,,,,,,,,,
2026-10-19,Mayores,Knowledge,,,,,,,,,,
2026-10-19,Mayores,Understanding,,,,,,,,,,
2026-10-19,Mayores,Application,,,,,,,,,,
2026-10-19,Mayores,Analysis,,,,,,,,,,
2026-10-19,Mayores,Evaluation,,,,,,,,,,
2026-10-19,Mayores,Synthesis,,,,,,,,,,
2026-10-19,Palanas,Knowledge,,,,,,,,,,
2026-10-19,Palanas,Understanding,,,,,,,,,,
2026-10-19,Palanas,Application,,,,,,,,,,
2026-10-19,Palanas,Analysis,,,,,,,,,,
2026-10-19,Palanas,Evaluation,,,,,,,,,,
2026-10-19,Palanas,Synthesis,,,,,,,,,,
2026-10-19,Tomagan,Knowledge,,,,,,,,,,
2026-10-19,Tomagan,Understanding,,,,,,,,,,
2026-10-19,Tomagan,Application,,,,,,,,,,
2026-10-19,Tomagan,Analysis,,,,,,,,,,
2026-10-19,Tomagan,Evaluation,,,,,,,,,,
2026-10-19,Tomagan,Synthesis,,,,,,,,,,
2026-10-22,Abesia,Knowledge,,,,,,,,,,
2026-10-22,Abesia,Understanding,,,,,,,,,,
2026-10-22,Abesia,Application,,,,,,,,,,
2026-10-22,Abesia,Analysis,,,,,,,,,,
2026-10-22,Abesia,Evaluation,,,,,,,,,,
2026-10-22,Abesia,Synthesis,,,,,,,,,,
2026-10-22,Mayores,Knowledge,,,,,,,,,,
2026-10-22,Mayores,Understanding,,,,,,,,,,
2026-10-22,Mayores,Application,,,,,,,,,,
2026-10-22,Mayores,Analysis,,,,,,,,,,
2026-10-22,Mayores,Evaluation,,,,,,,,,,
2026-10-22,Mayores,Synthesis,,,,,,,,,,
2026-10-22,Palanas,Knowledge,,,,,,,,,,
2026-10-22,Palanas,Understanding,,,,,,,,,,
2026-10-22,Palanas,Application,,,,,,,,,,
2026-10-22,Palanas,Analysis,,,,,,,,,,
2026-10-22,Palanas,Evaluation,,,,,,,,,,
2026-10-22,Palanas,Synthesis,,,,,,,,,,
2026-10-22,Tomagan,Knowledge,,,,,,,,,,
2026-10-22,Tomagan,Understanding,,,,,,,,,,
2026-10-22,Tomagan,Application,,,,,,,,,,
2026-10-22,Tomagan,Analysis,,,,,,,,,,
2026-10-22,Tomagan,Evaluation,,,,,,,,,,
2026-10-22,Tomagan,Synthesis,,,,,,,,,,
2026-10-26,Abesia,Knowledge,,,,,,,,,,
2026-10-26,Abesia,Understanding,,,,,,,,,,
2026-10-26,Abesia,Application,,,,,,,,,,
2026-10-26,Abesia,Analysis,,,,,,,,,,
2026-10-26,Abesia,Evaluation,,,,,,,,,,
2026-10-26,Abesia,Synthesis,,,,,,,,,,
2026-10-26,Mayores,Knowledge,,,,,,,,,,
2026-10-26,Mayores,Understanding,,,,,,,,,,
2026-10-26,Mayores,Application,,,,,,,,,,
2026-10-26,Mayores,Analysis,,,,,,,,,,
2026-10-26,Mayores,Evaluation,,,,,,,,,,
2026-10-26,Mayores,Synthesis,,,,,,,,,,
2026-10-26,Palanas,Knowledge,,,,,,,,,,
2026-10-26,Palanas,Understanding,,,,,,,,,,
2026-10-26,Palanas,Application,,,,,,,,,,
2026-10-26,Palanas,Analysis,,,,,,,,,,
2026-10-26,Palanas,Evaluation,,,,,,,,,,
2026-10-26,Palanas,Synthesis,,,,,,,,,,
2026-10-26,Tomagan,Knowledge,,,,,,,,,,
2026-10-26,Tomagan,Understanding,,,,,,,,,,
2026-10-26,Tomagan,Application,,,,,,,,,,
2026-10-26,Tomagan,Analysis,,,,,,,,,,
2026-10-26,Tomagan,Evaluation,,,,,,,,,,
2026-10-26,Tomagan,Synthesis,,,,,,,,,,
2026-10-29,Abesia,Knowledge,,,,,,,,,,
2026-10-29,Abesia,Understanding,,,,,,,,,,
2026-10-29,Abesia,Application,,,,,,,,,,
2026-10-29,Abesia,Analysis,,,,,,,,,,
2026-10-29,Abesia,Evaluation,,,,,,,,,,
2026-10-29,Abesia,Synthesis,,,,,,,,,,
2026-10-29,Mayores,Knowledge,,,,,,,,,,
2026-10-29,Mayores,Understanding,,,,,,,,,,
2026-10-29,Mayores,Application,,,,,,,,,,
2026-10-29,Mayores,Analysis,,,,,,,,,,
2026-10-29,Mayores,Evaluation,,,,,,,,,,
2026-10-29,Mayores,Synthesis,,,,,,,,,,
2026-10-29,Palanas,Knowledge,,,,,,,,,,
2026-10-29,Palanas,Understanding,,,,,,,,,,
2026-10-29,Palanas,Application,,,,,,,,,,
2026-10-29,Palanas,Analysis,,,,,,,,,,
2026-10-29,Palanas,Evaluation,,,,,,,,,,
2026-10-29,Palanas,Synthesis,,,,,,,,,,
2026-10-29,Tomagan,Knowledge,,,,,,,,,,
2026-10-29,Tomagan,Understanding,,,,,,,,,,
2026-10-29,Tomagan,Application,,,,,,,,,,
2026-10-29,Tomagan,Analysis,,,,,,,,,,
2026-10-29,Tomagan,Evaluation,,,,,,,,,,
2026-10-29,Tomagan,Synthesis,,,,,,,,,,
2026-11-02,Abesia,Knowledge,,,,,,,,,,
2026-11-02,Abesia,Understanding,,,,,,,,,,
2026-11-02,Abesia,Application,,,,,,,,,,
2026-11-02,Abesia,Analysis,,,,,,,,,,
2026-11-02,Abesia,Evaluation,,,,,,,,,,
2026-11-02,Abesia,Synthesis,,,,,,,,,,
2026-11-02,Mayores,Knowledge,,,,,,,,,,
2026-11-02,Mayores,Understanding,,,,,,,,,,
2026-11-02,Mayores,Application,,,,,,,,,,
2026-11-02,Mayores,Analysis,,,,,,,,,,
2026-11-02,Mayores,Evaluation,,,,,,,,,,
2026-11-02,Mayores,Synthesis,,,,,,,,,,
2026-11-02,Palanas,Knowledge,,,,,,,,,,
2026-11-02,Palanas,Understanding,,,,,,,,,,
2026-11-02,Palanas,Application,,,,,,,,,,
2026-11-02,Palanas,Analysis,,,,,,,,,,
2026-11-02,Palanas,Evaluation,,,,,,,,,,
2026-11-02,Palanas,Synthesis,,,,,,,,,,
2026-11-02,Tomagan,Knowledge,,,,,,,,,,
2026-11-02,Tomagan,Understanding,,,,,,,,,,
2026-11-02,Tomagan,Application,,,,,,,,,,
2026-11-02,Tomagan,Analysis,,,,,,,,,,
2026-11-02,Tomagan,Evaluation,,,,,,,,,,
2026-11-02,Tomagan,Synthesis,,,,,,,,,,
2026-11-05,Abesia,Knowledge,,,,,,,,,,
2026-11-05,Abesia,Understanding,,,,,,,,,,
2026-11-05,Abesia,Application,,,,,,,,,,
2026-11-05,Abesia,Analysis,,,,,,,,,,
2026-11-05,Abesia,Evaluation,,,,,,,,,,
2026-11-05,Abesia,Synthesis,,,,,,,,,,
2026-11-05,Mayores,Knowledge,,,,,,,,,,
2026-11-05,Mayores,Understanding,,,,,,,,,,
2026-11-05,Mayores,Application,,,,,,,,,,
2026-11-05,Mayores,Analysis,,,,,,,,,,
2026-11-05,Mayores,Evaluation,,,,,,,,,,
2026-11-05,Mayores,Synthesis,,,,,,,,,,
2026-11-05,Palanas,Knowledge,,,,,,,,,,
2026-11-05,Palanas,Understanding,,,,,,,,,,
2026-11-05,Palanas,Application,,,,,,,,,,
2026-11-05,Palanas,Analysis,,,,,,,,,,
2026-11-05,Palanas,Evaluation,,,,,,,,,,
2026-11-05,Palanas,Synthesis,,,,,,,,,,
2026-11-05,Tomagan,Knowledge,,,,,,,,,,
2026-11-05,Tomagan,Understanding,,,,,,,,,,
2026-11-05,Tomagan,Application,,,,,,,,,,
2026-11-05,Tomagan,Analysis,,,,,,,,,,
2026-11-05,Tomagan,Evaluation,,,,,,,,,,
2026-11-05,Tomagan,Synthesis,,,,,,,,,,
2026-11-09,Abesia,Knowledge,,,,,,,,,,
2026-11-09,Abesia,Understanding,,,,,,,,,,
2026-11-09,Abesia,Application,,,,,,,,,,
2026-11-09,Abesia,Analysis,,,,,,,,,,
2026-11-09,Abesia,Evaluation,,,,,,,,,,
2026-11-09,Abesia,Synthesis,,,,,,,,,,
2026-11-09,Mayores,Knowledge,,,,,,,,,,
2026-11-09,Mayores,Understanding,,,,,,,,,,
2026-11-09,Mayores,Application,,,,,,,,,,
2026-11-09,Mayores,Analysis,,,,,,,,,,
2026-11-09,Mayores,Evaluation,,,,,,,,,,
2026-11-09,Mayores,Synthesis,,,,,,,,,,
2026-11-09,Palanas,Knowledge,,,,,,,,,,
2026-11-09,Palanas,Understanding,,,,,,,,,,
2026-11-09,Palanas,Application,,,,,,,,,,
2026-11-09,Palanas,Analysis,,,,,,,,,,
2026-11-09,Palanas,Evaluation,,,,,,,,,,
2026-11-09,Palanas,Synthesis,,,,,,,,,,
2026-11-09,Tomagan,Knowledge,,,,,,,,,,
2026-11-09,Tomagan,Understanding,,,,,,,,,,
2026-11-09,Tomagan,Application,,,,,,,,,,
2026-11-09,Tomagan,Analysis,,,,,,,,,,
2026-11-09,Tomagan,Evaluation,,,,,,,,,,
2026-11-09,Tomagan,Synthesis,,,,,,,,,,
2026-11-12,Abesia,Knowledge,,,,,,,,,,
2026-11-12,Abesia,Understanding,,,,,,,,,,
2026-11-12,Abesia,Application,,,,,,,,,,
2026-11-12,Abesia,Analysis,,,,,,,,,,
2026-11-12,Abesia,Evaluation,,,,,,,,,,
2026-11-12,Abesia,Synthesis,,,,,,,,,,
2026-11-12,Mayores,Knowledge,,,,,,,,,,
2026-11-12,Mayores,Understanding,,,,,,,,,,
2026-11-12,Mayores,Application,,,,,,,,,,
2026-11-12,Mayores,Analysis,,,,,,,,,,
2026-11-12,Mayores,Evaluation,,,,,,,,,,
2026-11-12,Mayores,Synthesis,,,,,,,,,,
2026-11-12,Palanas,Knowledge,,,,,,,,,,
2026-11-12,Palanas,Understanding,,,,,,,,,,
2026-11-12,Palanas,Application,,,,,,,,,,
2026-11-12,Palanas,Analysis,,,,,,,,,,
2026-11-12,Palanas,Evaluation,,,,,,,,,,
2026-11-12,Palanas,Synthesis,,,,,,,,,,
2026-11-12,Tomagan,Knowledge,,,,,,,,,,
2026-11-12,Tomagan,Understanding,,,,,,,,,,
2026-11-12,Tomagan,Application,,,,,,,,,,
2026-11-12,Tomagan,Analysis,,,,,,,,,,
2026-11-12,Tomagan,Evaluation,,,,,,,,,,
2026-11-12,Tomagan,Synthesis,,,,,,,,,,
2026-11-16,Abesia,Knowledge,,,,,,,,,,
2026-11-16,Abesia,Understanding,,,,,,,,,,
2026-11-16,Abesia,Application,,,,,,,,,,
2026-11-16,Abesia,Analysis,,,,,,,,,,
2026-11-16,Abesia,Evaluation,,,,,,,,,,
2026-11-16,Abesia,Synthesis,,,,,,,,,,
2026-11-16,Mayores,Knowledge,,,,,,,,,,
2026-11-16,Mayores,Understanding,,,,,,,,,,
2026-11-16,Mayores,Application,,,,,,,,,,
2026-11-16,Mayores,Analysis,,,,,,,,,,
2026-11-16,Mayores,Evaluation,,,,,,,,,,
2026-11-16,Mayores,Synthesis,,,,,,,,,,
2026-11-16,Palanas,Knowledge,,,,,,,,,,
2026-11-16,Palanas,Understanding,,,,,,,,,,
2026-11-16,Palanas,Application,,,,,,,,,,
2026-11-16,Palanas,Analysis,,,,,,,,,,
2026-11-16,Palanas,Evaluation,,,,,,,,,,
2026-11-16,Palanas,Synthesis,,,,,,,,,,
2026-11-16,Tomagan,Knowledge,,,,,,,,,,
2026-11-16,Tomagan,Understanding,,,,,,,,,,
2026-11-16,Tomagan,Application,,,,,,,,,,
2026-11-16,Tomagan,Analysis,,,,,,,,,,
2026-11-16,Tomagan,Evaluation,,,,,,,,,,
2026-11-16,Tomagan,Synthesis,,,,,,,,,,
2026-11-19,Abesia,Knowledge,,,,,,,,,,
2026-11-19,Abesia,Understanding,,,,,,,,,,
2026-11-19,Abesia,Application,,,,,,,,,,
2026-11-19,Abesia,Analysis,,,,,,,,,,
2026-11-19,Abesia,Evaluation,,,,,,,,,,
2026-11-19,Abesia,Synthesis,,,,,,,,,,
2026-11-19,Mayores,Knowledge,,,,,,,,,,
2026-11-19,Mayores,Understanding,,,,,,,,,,
2026-11-19,Mayores,Application,,,,,,,,,,
2026-11-19,Mayores,Analysis,,,,,,,,,,
2026-11-19,Mayores,Evaluation,,,,,,,,,,
2026-11-19,Mayores,Synthesis,,,,,,,,,,
2026-11-19,Palanas,Knowledge,,,,,,,,,,
2026-11-19,Palanas,Understanding,,,,,,,,,,
2026-11-19,Palanas,Application,,,,,,,,,,
2026-11-19,Palanas,Analysis,,,,,,,,,,
2026-11-19,Palanas,Evaluation,,,,,,,,,,
2026-11-19,Palanas,Synthesis,,,,,,,,,,
2026-11-19,Tomagan,Knowledge,,,,,,,,,,
2026-11-19,Tomagan,Understanding,,,,,,,,,,
2026-11-19,Tomagan,Application,,,,,,,,,,
2026-11-19,Tomagan,Analysis,,,,,,,,,,
2026-11-19,Tomagan,Evaluation,,,,,,,,,,
2026-11-19,Tomagan,Synthesis,,,,,,,,,,
2026-11-23,Abesia,Knowledge,,,,,,,,,,
2026-11-23,Abesia,Understanding,,,,,,,,,,
2026-11-23,Abesia,Application,,,,,,,,,,
2026-11-23,Abesia,Analysis,,,,,,,,,,
2026-11-23,Abesia,Evaluation,,,,,,,,,,
2026-11-23,Abesia,Synthesis,,,,,,,,,,
2026-11-23,Mayores,Knowledge,,,,,,,,,,
2026-11-23,Mayores,Understanding,,,,,,,,,,
2026-11-23,Mayores,Application,,,,,,,,,,
2026-11-23,Mayores,Analysis,,,,,,,,,,
2026-11-23,Mayores,Evaluation,,,,,,,,,,
2026-11-23,Mayores,Synthesis,,,,,,,,,,
2026-11-23,Palanas,Knowledge,,,,,,,,,,
2026-11-23,Palanas,Understanding,,,,,,,,,,
2026-11-23,Palanas,Application,,,,,,,,,,
2026-11-23,Palanas,Analysis,,,,,,,,,,
2026-11-23,Palanas,Evaluation,,,,,,,,,,
2026-11-23,Palanas,Synthesis,,,,,,,,,,
2026-11-23,Tomagan,Knowledge,,,,,,,,,,
2026-11-23,Tomagan,Understanding,,,,,,,,,,
2026-11-23,Tomagan,Application,,,,,,,,,,
2026-11-23,Tomagan,Analysis,,,,,,,,,,
2026-11-23,Tomagan,Evaluation,,,,,,,,,,
2026-11-23,Tomagan,Synthesis,,,,,,,,,,
2026-11-26,Abesia,Knowledge,,,,,,,,,,
2026-11-26,Abesia,Understanding,,,,,,,,,,
2026-11-26,Abesia,Application,,,,,,,,,,
2026-11-26,Abesia,Analysis,,,,,,,,,,
2026-11-26,Abesia,Evaluation,,,,,,,,,,
2026-11-26,Abesia,Synthesis,,,,,,,,,,
2026-11-26,Mayores,Knowledge,,,,,,,,,,
2026-11-26,Mayores,Understanding,,,,,,,,,,
2026-11-26,Mayores,Application,,,,,,,,,,
2026-11-26,Mayores,Analysis,,,,,,,,,,
2026-11-26,Mayores,Evaluation,,,,,,,,,,
2026-11-26,Mayores,Synthesis,,,,,,,,,,
2026-11-26,Palanas,Knowledge,,,,,,,,,,
2026-11-26,Palanas,Understanding,,,,,,,,,,
2026-11-26,Palanas,Application,,,,,,,,,,
2026-11-26,Palanas,Analysis,,,,,,,,,,
2026-11-26,Palanas,Evaluation,,,,,,,,,,
2026-11-26,Palanas,Synthesis,,,,,,,,,,
2026-11-26,Tomagan,Knowledge,,,,,,,,,,
2026-11-26,Tomagan,Understanding,,,,,,,,,,
2026-11-26,Tomagan,Application,,,,,,,,,,
2026-11-26,Tomagan,Analysis,,,,,,,,,,
2026-11-26,Tomagan,Evaluation,,,,,,,,,,
2026-11-26,Tomagan,Synthesis,,,,,,,,,,
2026-11-30,Abesia,Knowledge,,,,,,,,,,
2026-11-30,Abesia,Understanding,,,,,,,,,,
2026-11-30,Abesia,Application,,,,,,,,,,
2026-11-30,Abesia,Analysis,,,,,,,,,,
2026-11-30,Abesia,Evaluation,,,,,,,,,,
2026-11-30,Abesia,Synthesis,,,,,,,,,,
2026-11-30,Mayores,Knowledge,,,,,,,,,,
2026-11-30,Mayores,Understanding,,,,,,,,,,
2026-11-30,Mayores,Application,,,,,,,,,,
2026-11-30,Mayores,Analysis,,,,,,,,,,
2026-11-30,Mayores,Evaluation,,,,,,,,,,
2026-11-30,Mayores,Synthesis,,,,,,,,,,
2026-11-30,Palanas,Knowledge,,,,,,,,,,
2026-11-30,Palanas,Understanding,,,,,,,,,,
2026-11-30,Palanas,Application,,,,,,,,,,
2026-11-30,Palanas,Analysis,,,,,,,,,,
2026-11-30,Palanas,Evaluation,,,,,,,,,,
2026-11-30,Palanas,Synthesis,,,,,,,,,,
2026-11-30,Tomagan,Knowledge,,,,,,,,,,
2026-11-30,Tomagan,Understanding,,,,,,,,,,
2026-11-30,Tomagan,Application,,,,,,,,,,
2026-11-30,Tomagan,Analysis,,,,,,,,,,
2026-11-30,Tomagan,Evaluation,,,,,,,,,,
2026-11-30,Tomagan,Synthesis,,,,,,,,,,
2026-12-03,Abesia,Knowledge,,,,,,,,,,
2026-12-03,Abesia,Understanding,,,,,,,,,,
2026-12-03,Abesia,Application,,,,,,,,,,
2026-12-03,Abesia,Analysis,,,,,,,,,,
2026-12-03,Abesia,Evaluation,,,,,,,,,,
2026-12-03,Abesia,Synthesis,,,,,,,,,,
2026-12-03,Mayores,Knowledge,,,,,,,,,,
2026-12-03,Mayores,Understanding,,,,,,,,,,
2026-12-03,Mayores,Application,,,,,,,,,,
2026-12-03,Mayores,Analysis,,,,,,,,,,
2026-12-03,Mayores,Evaluation,,,,,,,,,,
2026-12-03,Mayores,Synthesis,,,,,,,,,,
2026-12-03,Palanas,Knowledge,,,,,,,,,,
2026-12-03,Palanas,Understanding,,,,,,,,,,
2026-12-03,Palanas,Application,,,,,,,,,,
2026-12-03,Palanas,Analysis,,,,,,,,,,
2026-12-03,Palanas,Evaluation,,,,,,,,,,
2026-12-03,Palanas,Synthesis,,,,,,,,,,
2026-12-03,Tomagan,Knowledge,,,,,,,,,,
2026-12-03,Tomagan,Understanding,,,,,,,,,,
2026-12-03,Tomagan,Application,,,,,,,,,,
2026-12-03,Tomagan,Analysis,,,,,,,,,,
2026-12-03,Tomagan,Evaluation,,,,,,,,,,
2026-12-03,Tomagan,Synthesis,,,,,,,,,,
